65,73,51,63,79,51,27,46,66,105,48,55,77,37,62,51
75,78,48,46,73,50,26,51,64,103,51,47,72,46,75,83
53,66,60,53,94,39,21,44,76,100,76,51,63,49,78,86
37,57,64,31,76,57,28,48,61,108,53,56,99,56,85,98
58,77,53,69,100,56,37,51,73,94,63,49,82,53,73,94
53,76,74,48,77,53,32,45,50,94,72,69,75,51,67,81
54,47,48,42,75,39,19,45,51,50,57,42,73,55,91,100
39,49,51,50,49,59,24,47,56,76,37,52,64,54,99,124
34,39,75,56,55,106,27,47,49,85,55,59,71,55,71,130
67,66,90,62,72,44,25,48,61,72,53,58,65,60,107,153
49,102,47,53,69,32,17,38,71,73,53,62,84,52,109,109
32,93,55,41,77,66,45,46,34,65,43,77,72,59,62,100
58,47,55,42,83,69,22,40,100,65,59,77,84,56,62,113
45,89,76,48,89,61,18,32,53,74,54,54,100,61,54,73
53,74,78,71,71,63,19,32,89,64,46,64,94,52,59,67
28,51,57,72,81,79,19,56,68,76,46,75,104,58,69,118
38,59,86,56,68,66,32,58,61,87,48,77,61,60,62,67
46,42,98,68,41,65,25,52,71,101,48,88,61,58,68,64
35,48,94,53,57,63,31,50,57,104,62,105,51,71,52,61
45,44,52,57,58,53,31,29,50,94,45,50,90,80,48,80
40,47,54,42,75,60,30,26,87,69,61,53,50,74,59,73
38,63,45,42,71,75,30,43,41,66,57,59,89,60,53,96
43,48,41,58,90,71,26,44,91,66,50,54,69,59,48,78
29,55,53,56,79,68,28,52,66,78,55,35,53,54,41,77
42,56,50,51,66,56,27,42,62,79,61,70,70,61,51,76
29,43,42,57,69,71,22,38,68,95,74,75,112,56,61,97
43,64,95,61,59,73,26,57,66,82,62,58,86,57,99,71
56,50,59,66,80,56,44,59,56,99,63,93,72,57,123,103
57,39,62,42,78,74,25,53,74,110,75,55,100,58,68,135
54,54,61,41,75,59,24,45,55,99,64,94,87,43,48,110
34,40,44,50,78,55,26,37,56,66,57,77,82,58,61,130
32,62,45,28,56,40,19,22,63,97,52,85,89,42,62,136
35,55,37,28,67,43,34,24,41,120,44,60,66,57,41,124
50,54,44,29,65,64,24,42,52,129,44,52,134,68,37,76
43,52,63,47,80,62,28,31,51,139,56,73,113,67,45,47
49,60,36,78,88,69,27,29,49,119,70,58,93,83,39,66
35,48,49,32,78,68,29,33,71,95,46,67,77,68,57,84
44,54,49,44,87,56,29,37,67,92,93,83,90,39,73,92
37,75,41,33,70,65,37,33,57,94,56,93,82,60,43,115
45,70,59,37,78,71,28,60,55,85,48,103,80,62,31,69
41,56,46,62,82,56,33,36,84,83,50,124,79,44,43,45
24,56,51,55,67,60,31,34,64,103,64,82,70,48,42,51
20,50,37,61,69,38,53,22,60,67,42,84,64,48,44,37
21,69,47,46,57,67,54.97189467118401,20,79,61,59,80,88,41,42,65
38,48,83,42,76,59,56.630222784840015,25,66,57,59,146,56,43,47,67
21,49,81,43,64,55,54.23460863057917,20,59,64,42,104,77,50,39,52
18,57,65,32,61,69,49.13826661372375,18,55,71,65,85,56,60,53,34
36,60,54,51,60,56,42.69441113959621,21,52,37,41,79,73,40,53,51
24,52,57,40,66,60,36.256256613519085,35,61,71,60,85,113,54,54,74
17,49,62,45,75,53,31.17701744081449,28,69,77,56,89,79,45,49,52
26,46,44,43,61,60,24,41,59,44,54,85,94,46,51,77
23,48,51,34,59,49,27,38,79,79,48,71,63,53,49,87
24,47,55,35,68,46,40,25,56,80,61,80,75,45,51,72
31,44,51,46,77,62,27,40,65,82,54,88,77,41,49,47
20,64,42,30,63,50,24,37,108,76,80,76,56,46,43,67
20,62,58,29,122,58,33,45,55,88,60,45,87,54,46,57
